KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
3304,"Kab. Banjarnegara, Jawa Tengah",Jenjang Pendidikan SLB,0
3572,"Kota Blitar, Jawa Timur",Jenjang Pendidikan SLB,0
1871,"Kota Bandar Lampung, Lampung",Jenjang Pendidikan SLB,0
7313,"Kab. Wajo, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1602,"Kab. Ogan Komering Ilir, Sumatera Selatan",Jenjang Pendidikan SLB,0
7502,"Kab. Gorontalo, Gorontalo",Jenjang Pendidikan SLB,0
3314,"Kab. Sragen, Jawa Tengah",Jenjang Pendidikan SLB,0
6310,"Kab. Tanah Bumbu, Kalimantan Selatan",Jenjang Pendidikan SLB,0
5204,"Kab. Sumbawa, Nusa Tenggara Barat",Jenjang Pendidikan SLB,0
1277,"Kota Padang Sidimpuan, Sumatera Utara",Jenjang Pendidikan SLB,0
5107,"Kab. Karang Asem, Bali",Jenjang Pendidikan SLB,0
9404,"Kab. Nabire, Papua",Jenjang Pendidikan SLB,0
1708,"Kab. Kepahiang, Bengkulu",Jenjang Pendidikan SLB,0
3329,"Kab. Brebes, Jawa Tengah",Jenjang Pendidikan SLB,0
3575,"Kota Pasuruan, Jawa Timur",Jenjang Pendidikan SLB,0
7201,"Kab. Banggai Kepulauan, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1673,"Kota Pagar Alam, Sumatera Selatan",Jenjang Pendidikan SLB,0
3307,"Kab. Wonosobo, Jawa Tengah",Jenjang Pendidikan SLB,0
6212,"Kab. Barito Timur, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5306,"Kab. Belu, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7101,"Kab. Bolaang Mongondow, Sulawesi Utara",Jenjang Pendidikan SLB,0
1903,"Kab. Bangka Barat, Bangka Belitung",Jenjang Pendidikan SLB,0
6571,"Kota Tarakan, Kalimantan Utara",Jenjang Pendidikan SLB,0
1402,"Kab. Indragiri Hulu, Riau",Jenjang Pendidikan SLB,0
1375,"Kota Bukittinggi, Sumatera Barat",Jenjang Pendidikan SLB,0
6106,"Kab. Ketapang, Kalimantan Barat",Jenjang Pendidikan SLB,0
8202,"Kab. Halmahera Tengah, Maluku Utara",Jenjang Pendidikan SLB,0
7301,"Kab. Kepulauan Selayar, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7208,"Kab. Parigi Moutong, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1212,"Kab. Deli Serdang, Sumatera Utara",Jenjang Pendidikan SLB,0
1111,"Kab. Aceh Utara, Aceh",Jenjang Pendidikan SLB,0
1506,"Kab. Tanjung Jabung Timur, Jambi",Jenjang Pendidikan SLB,0
6202,"Kab. Kotawaringin Timur, Kalimantan Tengah",Jenjang Pendidikan SLB,0
7109,"Kab. Minahasa Tenggara, Sulawesi Utara",Jenjang Pendidikan SLB,0
1971,"Kota Pangkalpinang, Bangka Belitung",Jenjang Pendidikan SLB,0
3513,"Kab. Probolinggo, Jawa Timur",Jenjang Pendidikan SLB,0
1803,"Kab. Lampung Selatan, Lampung",Jenjang Pendidikan SLB,0
1409,"Kab. Rokan Hilir, Riau",Jenjang Pendidikan SLB,0
3471,"Kota Yogyakarta, D.I. Yogyakarta",Jenjang Pendidikan SLB,0
3308,"Kab. Magelang, Jawa Tengah",Jenjang Pendidikan SLB,0
6101,"Kab. Sambas, Kalimantan Barat",Jenjang Pendidikan SLB,0
8271,"Kota Ternate, Maluku Utara",Jenjang Pendidikan SLB,0
7309,"Kab. Pangkajene Kepulauan, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1216,"Kab. Pakpak Bharat, Sumatera Utara",Jenjang Pendidikan SLB,0
1118,"Kab. Pidie Jaya, Aceh",Jenjang Pendidikan SLB,0
6271,"Kota Palangka Raya, Kalimantan Tengah",Jenjang Pendidikan SLB,0
7173,"Kota Tomohon, Sulawesi Utara",Jenjang Pendidikan SLB,0
3672,"Kota Cilegon, Banten",Jenjang Pendidikan SLB,0
3523,"Kab. Tuban, Jawa Timur",Jenjang Pendidikan SLB,0
1802,"Kab. Tanggamus, Lampung",Jenjang Pendidikan SLB,0
1606,"Kab. Musi Banyuasin, Sumatera Selatan",Jenjang Pendidikan SLB,0
3175,"Kota Jakarta Utara, D.K.I. Jakarta",Jenjang Pendidikan SLB,0
6304,"Kab. Barito Kuala, Kalimantan Selatan",Jenjang Pendidikan SLB,0
5202,"Kab. Lombok Tengah, Nusa Tenggara Barat",Jenjang Pendidikan SLB,0
7403,"Kab. Konawe, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
1276,"Kota Binjai, Sumatera Utara",Jenjang Pendidikan SLB,0
5108,"Kab. Buleleng, Bali",Jenjang Pendidikan SLB,0
6401,"Kab. Paser, Kalimantan Timur",Jenjang Pendidikan SLB,0
9409,"Kab. Biak Numfor, Papua",Jenjang Pendidikan SLB,0
1709,"Kab. Bengkulu Tengah, Bengkulu",Jenjang Pendidikan SLB,0
3325,"Kab. Batang, Jawa Tengah",Jenjang Pendidikan SLB,0
8109,"Kab. Buru Selatan, Maluku",Jenjang Pendidikan SLB,0
7602,"Kab. Polewali Mandar, Sulawesi Barat",Jenjang Pendidikan SLB,0
7373,"Kota Palopo, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1608,"Kab. Ogan Komering Ulu Selatan, Sumatera Selatan",Jenjang Pendidikan SLB,0
7503,"Kab. Pohuwato, Gorontalo",Jenjang Pendidikan SLB,0
3328,"Kab. Tegal, Jawa Tengah",Jenjang Pendidikan SLB,0
6372,"Kota Banjarbaru, Kalimantan Selatan",Jenjang Pendidikan SLB,0
7407,"Kab. Wakatobi, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
1274,"Kota Tebing Tinggi, Sumatera Utara",Jenjang Pendidikan SLB,0
5102,"Kab. Tabanan, Bali",Jenjang Pendidikan SLB,0
3507,"Kab. Malang, Jawa Timur",Jenjang Pendidikan SLB,0
6502,"Kab. Bulungan, Kalimantan Utara",Jenjang Pendidikan SLB,0
9107,"Kab. Sorong, Papua Barat",Jenjang Pendidikan SLB,0
1303,"Kab. Solok, Sumatera Barat",Jenjang Pendidikan SLB,0
3321,"Kab. Demak, Jawa Tengah",Jenjang Pendidikan SLB,0
6102,"Kab. Bengkayang, Kalimantan Barat",Jenjang Pendidikan SLB,0
7316,"Kab. Enrekang, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7205,"Kab. Donggala, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1672,"Kota Prabumulih, Sumatera Selatan",Jenjang Pendidikan SLB,0
1505,"Kab. Muaro Jambi, Jambi",Jenjang Pendidikan SLB,0
3375,"Kota Pekalongan, Jawa Tengah",Jenjang Pendidikan SLB,0
6211,"Kab. Gunung Mas, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5309,"Kab. Flores Timur, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7104,"Kab. Kepulauan Talaud, Sulawesi Utara",Jenjang Pendidikan SLB,0
1904,"Kab. Bangka Tengah, Bangka Belitung",Jenjang Pendidikan SLB,0
3528,"Kab. Pamekasan, Jawa Timur",Jenjang Pendidikan SLB,0
2101,"Kab. Karimun, Kepulauan Riau",Jenjang Pendidikan SLB,0
3403,"Kab. Gunung Kidul, D.I. Yogyakarta",Jenjang Pendidikan SLB,0
3324,"Kab. Kendal, Jawa Tengah",Jenjang Pendidikan SLB,0
6103,"Kab. Landak, Kalimantan Barat",Jenjang Pendidikan SLB,0
8205,"Kab. halmahera Utara, Maluku Utara",Jenjang Pendidikan SLB,0
7325,"Kab. Luwu Timur, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7210,"Kab. Sigi, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1223,"Kab. Labuhan Batu Utara, Sumatera Utara",Jenjang Pendidikan SLB,0
1110,"Kab. Bireuen, Aceh",Jenjang Pendidikan SLB,0
1571,"Kota Jambi, Jambi",Jenjang Pendidikan SLB,0
6213,"Kab. Murung Raya, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5318,"Kab. Nagakeo, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
3271,"Kota Bogor, Jawa Barat",Jenjang Pendidikan SLB,0
1804,"Kab. Lampung Timur, Lampung",Jenjang Pendidikan SLB,0
1405,"Kab. Siak, Riau",Jenjang Pendidikan SLB,0
7314,"Kab. Sidenreng Rappang, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1607,"Kab. Banyuasin, Sumatera Selatan",Jenjang Pendidikan SLB,0
3326,"Kab. Pekalongan, Jawa Tengah",Jenjang Pendidikan SLB,0
6171,"Kota Pontianak, Kalimantan Barat",Jenjang Pendidikan SLB,0
7409,"Kab. Buton Utara, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
1203,"Kab. Tapanuli Selatan, Sumatera Utara",Jenjang Pendidikan SLB,0
1174,"Kota Lhokseumawe, Aceh",Jenjang Pendidikan SLB,0
3201,"Kab. Bogor, Jawa Barat",Jenjang Pendidikan SLB,0
5302,"Kab. Sumba Timur, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
1311,"Kab. Dharmasraya, Sumatera Barat",Jenjang Pendidikan SLB,0
3278,"Kota Tasikmalaya, Jawa Barat",Jenjang Pendidikan SLB,0
3579,"Kota Batu, Jawa Timur",Jenjang Pendidikan SLB,0
1807,"Kab. Way Kanan, Lampung",Jenjang Pendidikan SLB,0
7326,"Kab. Toraja Utara, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1610,"Kab. Ogan Ilir, Sumatera Selatan",Jenjang Pendidikan SLB,0
7504,"Kab. Bone Bolango, Gorontalo",Jenjang Pendidikan SLB,0
3322,"Kab. Semarang, Jawa Tengah",Jenjang Pendidikan SLB,0
6309,"Kab. Tabalong, Kalimantan Selatan",Jenjang Pendidikan SLB,0
5208,"Kab. Lombok Utara, Nusa Tenggara Barat",Jenjang Pendidikan SLB,0
7410,"Kab. Konawe Utara, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
1275,"Kota Medan, Sumatera Utara",Jenjang Pendidikan SLB,0
5101,"Kab. Jembrana, Bali",Jenjang Pendidikan SLB,0
3212,"Kab. Indramayu, Jawa Barat",Jenjang Pendidikan SLB,0
3508,"Kab. Lumajang, Jawa Timur",Jenjang Pendidikan SLB,0
6471,"Kota Balikpapan, Kalimantan Timur",Jenjang Pendidikan SLB,0
9412,"Kab. Mimika, Papua",Jenjang Pendidikan SLB,0
1312,"Kab. Pasaman Barat, Sumatera Barat",Jenjang Pendidikan SLB,0
1704,"Kab. Kaur, Bengkulu",Jenjang Pendidikan SLB,0
3309,"Kab. Boyolali, Jawa Tengah",Jenjang Pendidikan SLB,0
3576,"Kota Mojokerto, Jawa Timur",Jenjang Pendidikan SLB,0
8102,"Kab. Maluku Tenggara, Maluku",Jenjang Pendidikan SLB,0
7310,"Kab. Barru, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7202,"Kab. Banggai, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1674,"Kota Lubuk Linggau, Sumatera Selatan",Jenjang Pendidikan SLB,0
1509,"Kab. Bungo, Jambi",Jenjang Pendidikan SLB,0
6204,"Kab. Barito Selatan, Kalimantan Tengah",Jenjang Pendidikan SLB,0
7471,"Kota Kendari, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
1901,"Kab. Bangka, Bangka Belitung",Jenjang Pendidikan SLB,0
3518,"Kab. Nganjuk, Jawa Timur",Jenjang Pendidikan SLB,0
6504,"Kab. Nunukan, Kalimantan Utara",Jenjang Pendidikan SLB,0
1403,"Kab. Indragiri Hilir, Riau",Jenjang Pendidikan SLB,0
1705,"Kab. Seluma, Bengkulu",Jenjang Pendidikan SLB,0
3320,"Kab. Jepara, Jawa Tengah",Jenjang Pendidikan SLB,0
6111,"Kab. Kayong Utara, Kalimantan Barat",Jenjang Pendidikan SLB,0
8204,"Kab. Halmahera Selatan, Maluku Utara",Jenjang Pendidikan SLB,0
7212,"Kab. Morowali Utara, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1219,"Kab. Batubara, Sumatera Utara",Jenjang Pendidikan SLB,0
1105,"Kab. Aceh Timur, Aceh",Jenjang Pendidikan SLB,0
6209,"Kab. Katingan, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5313,"Kab. Manggarai, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7105,"Kab. Minahasa Selatan, Sulawesi Utara",Jenjang Pendidikan SLB,0
1906,"Kab. Belitung Timur, Bangka Belitung",Jenjang Pendidikan SLB,0
2172,"Kota Tanjungpinang, Kepulauan Riau",Jenjang Pendidikan SLB,0
1404,"Kab. Pelalawan, Riau",Jenjang Pendidikan SLB,0
3319,"Kab. Kudus, Jawa Tengah",Jenjang Pendidikan SLB,0
6104,"Kab. Mempawah, Kalimantan Barat",Jenjang Pendidikan SLB,0
8203,"Kab. Kepulauan Sula, Maluku Utara",Jenjang Pendidikan SLB,0
7308,"Kab. Maros, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7206,"Kab. Tolitoli, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1220,"Kab. Padang Lawas utara, Sumatera Utara",Jenjang Pendidikan SLB,0
1109,"Kab. Pidie, Aceh",Jenjang Pendidikan SLB,0
3505,"Kab. Blitar, Jawa Timur",Jenjang Pendidikan SLB,0
6208,"Kab. Seruyan, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5310,"Kab. Sikka, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7171,"Kota Manado, Sulawesi Utara",Jenjang Pendidikan SLB,0
3603,"Kab. Tangerang, Banten",Jenjang Pendidikan SLB,0
1810,"Kab. Pringsewu, Lampung",Jenjang Pendidikan SLB,0
1471,"Kota Pekanbaru, Riau",Jenjang Pendidikan SLB,0
7312,"Kab. Soppeng, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1603,"Kab. Muara Enim, Sumatera Selatan",Jenjang Pendidikan SLB,0
3172,"Kota Jakarta Timur, D.K.I. Jakarta",Jenjang Pendidikan SLB,0
6311,"Kab. Balangan, Kalimantan Selatan",Jenjang Pendidikan SLB,0
5201,"Kab. Lombok Barat, Nusa Tenggara Barat",Jenjang Pendidikan SLB,0
7411,"Kab. Kolaka Timur, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
